,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
0,Hithadhoo,-0.6,73.08,83.28,71,22,4.5,MV,1597546061
1,Pemangkat,1.17,108.97,79.72,78,86,6.71,ID,1597546061
2,North Bend,43.41,-124.22,73.0,63,1,5.82,US,1597546061
3,Porto Walter,-8.27,-72.74,76.71,75,6,2.55,BR,1597546061
4,Albany,42.6,-73.97,71.01,66,74,5.82,US,1597546061
5,Cape Town,-33.93,18.42,48.99,93,75,8.05,ZA,1597545812
6,Ushtobe,45.25,77.98,80.58,24,5,13.62,KZ,1597546062
7,São Paulo de Olivença,-3.38,-68.87,76.59,77,56,1.32,BR,1597546062
8,George Town,5.41,100.34,86.0,79,20,1.12,MY,1597545844
9,Vaini,-21.2,-175.2,71.6,68,40,13.87,TO,1597546062
10,Punta Arenas,-53.15,-70.92,33.8,88,71,27.51,CL,1597545779
11,Sterling,39.01,-77.43,71.01,88,90,8.05,US,1597546063
12,Taungdwingyi,20.02,95.55,78.8,86,98,12.46,MM,1597546063
13,Macao,22.2,113.55,89.6,74,20,5.82,MO,1597546063
14,Millinocket,45.66,-68.71,62.6,77,1,3.18,US,1597546063
15,Mount Isa,-20.73,139.5,77.0,17,0,6.93,AU,1597546063
16,Port Blair,11.67,92.75,84.45,76,72,14.67,IN,1597546007
17,Torbay,47.67,-52.73,50.0,87,5,4.7,CA,1597546064
18,Upernavik,72.79,-56.15,40.82,77,24,13.73,GL,1597546064
19,New Norfolk,-42.78,147.06,55.99,90,100,1.99,AU,1597546064
20,Hilo,19.73,-155.09,82.4,69,90,9.17,US,1597546055
21,Hobart,-42.88,147.33,55.99,82,75,10.29,AU,1597545992
22,Atuona,-9.8,-139.03,78.35,74,21,13.94,PF,1597546065
23,Mataura,-46.19,168.86,51.01,71,24,4.0,NZ,1597546065
24,Petropavlovsk-Kamchatskiy,53.05,158.65,68.0,72,20,4.47,RU,1597545879
25,Taltal,-25.4,-70.48,51.66,73,33,2.75,CL,1597546065
26,Leningradskiy,69.38,178.42,49.93,68,30,14.58,RU,1597546065
